name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
"Mr. House, President and CEO",23eb3cf7-c90d-4bfa-b125-4fbcb5614468,pip,7,Legendary Artifact Creature — Human,"Whenever you roll a 4 or higher, create a 3/3 colorless Robot artifact creature token. If you rolled 6 or higher, instead create that token and a Treasure token. {4}, {T}: Roll a six-sided die plus an additional six-sided die for each mana from Treasures spent to activate this ability.",BRW
"Mr. Orfeo, the Boulder",97caaa92-2a7d-4f79-8d42-86733c902072,snc,204,Legendary Creature — Rhino Warrior,"Whenever you attack, double target creature's power until end of turn.",BGR
Ms. Bumbleflower,42bbedc1-6b83-46b4-8b3b-a4e05ce77d87,blc,3,Legendary Creature — Rabbit Citizen,"Vigilance Whenever you cast a spell, target opponent draws a card. Put a +1/+1 counter on target creature. It gains flying until end of turn. If this is the second time this ability has resolved this turn, you draw two cards.",GUW
"Muerra, Trash Tactician",b40e4658-fd68-46d0-9a89-25570a023d19,blb,227,Legendary Creature — Raccoon Warrior,"At the beginning of your first main phase, add {R} or {G} for each Raccoon you control. Whenever you expend 4, you gain 3 life. (You expend 4 as you spend your fourth total mana to cast spells during a turn.) Whenever you expend 8, exile the top two cards of your library. Until the end of your next turn, you may play those cards.",GR
"Muldrotha, the Gravetide",51710b19-68e3-4853-901f-e618bde61161,fdn,243,Legendary Creature — Elemental Avatar,"During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)",BGU
"Multani, Maro-Sorcerer",0d6cc98b-b376-40af-8308-198bab00b2b1,ulg,107,Legendary Creature — Elemental,Shroud (This creature can't be the target of spells or abilities.) Multani's power and toughness are each equal to the total number of cards in all players' hands.,G
"Multani, Yavimaya's Avatar",c37a0136-1c40-4cd1-8787-a25c377c1741,eoc,100,Legendary Creature — Elemental Avatar,"Reach, trample Multani gets +1/+1 for each land you control and each land card in your graveyard. {1}{G}, Return two lands you control to their owner's hand: Return this card from your graveyard to your hand.",G
"Munda, Ambush Leader",d8ee09fe-46d7-492b-a2f3-3fb0c3f83f07,bfz,215,Legendary Creature — Kor Ally,"Haste Rally — Whenever Munda or another Ally you control enters, you may look at the top four cards of your library. If you do, reveal any number of Ally cards from among them, then put those cards on top of your library in any order and the rest on the bottom in any order.",RW
"Muxus, Goblin Grandee",2c716d10-2130-43b7-a939-349d437e1091,jmp,24,Legendary Creature — Goblin Noble,"When Muxus enters, reveal the top six cards of your library. Put all Goblin creature cards with mana value 5 or less from among them onto the battlefield and the rest on the bottom of your library in a random order. Whenever Muxus attacks, it gets +1/+1 until end of turn for each other Goblin you control.",R
"Mu Yanling, Wind Rider",76423446-d62f-4cc5-a23a-3175be88bd73,dft,52,Legendary Creature — Human Wizard Pilot,"When this creature enters, create a 3/2 colorless Vehicle artifact token with crew 1. Vehicles you control have flying. Whenever one or more creatures you control with flying deal combat damage to a player, draw a card.",U
"Muzzio, Visionary Architect",d4af4cc3-bd51-4161-baec-091d729ac820,vma,82,Legendary Creature — Human Artificer,"{3}{U}, {T}: Look at the top X cards of your library, where X is the greatest mana value among artifacts you control. You may put an artifact card from among them onto the battlefield. Put the rest on the bottom of your library in any order.",U
Myojin of Blooming Dawn,afd718b5-040b-4bb7-9f0c-b72373d786d4,nec,31,Legendary Creature — Spirit,Myojin of Blooming Dawn enters with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from Myojin of Blooming Dawn: Create a 1/1 colorless Spirit creature token for each permanent you control.,W
Myojin of Cleansing Fire,a0570ba0-2877-46f6-acea-6913f8915d6d,chk,35,Legendary Creature — Spirit,Myojin of Cleansing Fire enters with a divinity counter on it if you cast it from your hand. Myojin of Cleansing Fire has indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Cleansing Fire: Destroy all other creatures.,W
Myojin of Cryptic Dreams,31142a36-3676-4ce4-9f5b-d9252fc30739,nec,33,Legendary Creature — Spirit,Myojin of Cryptic Dreams enters with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from Myojin of Cryptic Dreams: Copy target permanent spell you control three times. (The copies become tokens.),U
Myojin of Grim Betrayal,3fa18695-e10f-4dd5-b116-8a9891e58c20,nec,34,Legendary Creature — Spirit,Myojin of Grim Betrayal enters with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from Myojin of Grim Betrayal: Put onto the battlefield under your control all creature cards in all graveyards that were put there from anywhere this turn.,B
Myojin of Infinite Rage,df630ae9-aa17-46e9-95e7-4980f4a76ade,chk,181,Legendary Creature — Spirit,Myojin of Infinite Rage enters with a divinity counter on it if you cast it from your hand. Myojin of Infinite Rage has indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Infinite Rage: Destroy all lands.,R
Myojin of Life's Web,efb926ad-e762-4883-8841-73e034d8e21e,chk,229,Legendary Creature — Spirit,Myojin of Life's Web enters with a divinity counter on it if you cast it from your hand. Myojin of Life's Web has indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Life's Web: Put any number of creature cards from your hand onto the battlefield.,G
Myojin of Night's Reach,73bc5505-7fa0-4ebf-a691-b4ca5f52b019,fdn,610,Legendary Creature — Spirit,Myojin of Night's Reach enters with a divinity counter on it if you cast it from your hand. Myojin of Night's Reach has indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Night's Reach: Each opponent discards their hand.,B
Myojin of Roaring Blades,1b948181-4688-455c-97ae-990d0ec50f1d,nec,36,Legendary Creature — Spirit,Myojin of Roaring Blades enters with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from Myojin of Roaring Blades: It deals 7 damage to each of up to three targets.,R
Myojin of Seeing Winds,8f5f8d3a-95e7-4dd9-8510-43517eb02693,chk,75,Legendary Creature — Spirit,Myojin of Seeing Winds enters with a divinity counter on it if you cast it from your hand. Myojin of Seeing Winds has indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Seeing Winds: Draw a card for each permanent you control.,U
Myojin of Towering Might,54803ba5-a2d7-4997-8e76-298aff6e1aff,nec,38,Legendary Creature — Spirit,Myojin of Towering Might enters with an indestructible counter on it if you cast it from your hand. Remove an indestructible counter from Myojin of Towering Might: Distribute eight +1/+1 counters among any number of target creatures you control. They gain trample until end of turn.,G
Myra the Magnificent,5e57baea-00ee-49dc-80ce-a8c11a67a6db,unf,175,Legendary Creature — Human Performer,"Whenever you cast an instant or sorcery spell from your hand, open an Attraction. {X}, {T}: Exile target instant or sorcery card with mana value X from your graveyard and choose an Attraction you control that doesn't have a midway counter on it. Put a midway counter on it. For as long as that Attraction is on the battlefield, whenever you visit it, copy the exiled card. You may cast the copy without paying its mana cost.",RU
"Myrel, Shield of Argive",e632ed57-bb00-4493-adef-7b4805edd7ea,bro,18,Legendary Creature — Human Soldier,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments. Whenever Myrel attacks, create X 1/1 colorless Soldier artifact creature tokens, where X is the number of Soldiers you control.",W
"Myrkul, Lord of Bones",82824d05-5215-459a-aa73-3c5a6be3d464,clb,287,Legendary Creature — God,"As long as your life total is less than or equal to half your starting life total, Myrkul has indestructible. Whenever another nontoken creature you control dies, you may exile it. If you do, create a token that's a copy of that card, except it's an enchantment and loses all other card types.",BGW
"Mysterio, Master of Illusion",facbd96f-c088-4377-b740-5e0fe99102bb,spm,37,Legendary Creature — Human Villain,"When Mysterio enters, create a 3/3 blue Illusion Villain creature token for each nontoken Villain you control. Exile those tokens when Mysterio leaves the battlefield.",U
Mythweaver Poq,2cd90255-cfe9-4a2d-86fc-b72d1aefc8e3,ylci,19,Legendary Creature — Cat Shaman,"Mythweaver Poq's power and toughness are each equal to the number of lands you control. Whenever one or more nontoken lands enter under your control, for each of them, conjure a duplicate of it onto the battlefield. This ability triggers only once each turn.",G
"Naban, Dean of Iteration",88f41175-880f-491e-96c3-bf52f3c0db5d,dom,58,Legendary Creature — Human Wizard,"If a Wizard you control entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",U
"Nadaar, Selfless Paladin",878a0d8c-11c1-4c65-9051-78e036ac496f,afr,27,Legendary Creature — Dragon Knight,"Vigilance Whenever Nadaar enters or attacks, venture into the dungeon. (Enter the first room or advance to the next room.) Other creatures you control get +1/+1 as long as you've completed a dungeon.",W
"Nadier, Agent of the Duskenel",47c5948b-b021-4d07-8003-9c11db690bc0,cmr,135,Legendary Creature — Elf Warrior,"Whenever a token you control leaves the battlefield, put a +1/+1 counter on Nadier. When Nadier leaves the battlefield, create a number of 1/1 green Elf Warrior creature tokens equal to its power. Partner (You can have two commanders if both have partner.)",B
"Nael, Avizoa Aeronaut",5da59e8f-cbe5-4c14-a5a9-28d56048dc23,dmu,207,Legendary Creature — Elf Scout,"Flying Domain — Whenever Nael deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card.",GU
"Nagao, Bound by Honor",a45258f4-c36d-46cc-80e8-cc458351e003,chk,36,Legendary Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.) Whenever Nagao attacks, Samurai creatures you control get +1/+1 until end of turn.",W
"Nahiri, Forged in Fury",90eb0859-d24e-4703-8930-1cd4ac1fb3b6,mat,36,Legendary Creature — Kor Artificer,"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.) Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs.",RW
"Nahiri, the Lithomancer",b074e60a-6f9b-4679-9617-261e2e15e1e8,cmm,45,Legendary Planeswalker — Nahiri,"+2: Create a 1/1 white Kor Soldier creature token. You may attach an Equipment you control to it. −2: You may put an Equipment card from your hand or graveyard onto the battlefield. −10: Create a colorless Equipment artifact token named Stoneforged Blade. It has indestructible, ""Equipped creature gets +5/+5 and has double strike,"" and equip {0}. Nahiri, the Lithomancer can be your commander.",W
"Najal, the Storm Runner",9017ee70-761b-434e-bc44-705cf14336fa,dmu,208,Legendary Creature — Efreet Wizard,"You may cast sorcery spells as though they had flash. Whenever Najal attacks, you may pay {2}. If you do, when you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy.",RU
"Najeela, the Blade-Blossom",5aa5bec9-904f-42fb-9511-4706d6e6767e,omb,24,Legendary Creature — Human Warrior,"Whenever a Warrior attacks, you may have its controller create a 1/1 white Warrior creature token that's tapped and attacking. {W}{U}{B}{R}{G}: Untap all attacking creatures. They gain trample, lifelink, and haste until end of turn. After this phase, there is an additional combat phase. Activate only during combat.",BGRUW
Nalia de'Arnise,7a1294fd-9885-4dfd-8192-0ca074fc83f7,clb,649,Legendary Creature — Human Rogue,"You may look at the top card of your library any time. You may cast Cleric, Rogue, Warrior, and Wizard spells from the top of your library. At the beginning of combat on your turn, if you have a full party, put a +1/+1 counter on each creature you control and those creatures gain deathtouch until end of turn.",BW
"Naomi, Pillar of Order",4400fd66-1a24-47fb-bc94-37e0aae0e610,neo,229,Legendary Creature — Human Advisor,"Whenever Naomi enters or attacks, if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",BW
"Narci, Fable Singer",a98a2fa9-82d6-4cf7-adb4-65b187cd9cda,cmm,710,Legendary Creature — Human Bard,"Lifelink Whenever you sacrifice an enchantment, draw a card. Whenever the final chapter ability of a Saga you control resolves, each opponent loses X life and you gain X life, where X is that Saga's mana value.",BGW
"Nardole, Resourceful Cyborg",03a5c463-6b5c-49c9-84c9-666aa8c19fbf,who,50,Legendary Artifact Creature — Scientist,"{T}: Add {U} for each counter on Nardole. Spend this mana only to cast noncreature spells. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.) Doctor's companion (You can have two commanders if the other is the Doctor.)",U
"Narfi, Betrayer King",421376e4-a4ad-427c-bc9c-d315308dcf68,khm,224,Legendary Snow Creature — Zombie Wizard,Other snow and Zombie creatures you control get +1/+1. {S}{S}{S}: Return this card from your graveyard to the battlefield tapped. ({S} can be paid with one mana from a snow source.),BU
"Narset, Enlightened Exile",827ecc44-0b00-4515-8953-bc91fa03705a,mat,38,Legendary Creature — Human Monk,"Creatures you control have prowess. Whenever Narset attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost.",RUW
"Narset, Enlightened Master",de4b0d5f-1071-4030-be16-2b4dadbdf9e9,cmm,931,Legendary Creature — Human Monk,"First strike, hexproof Whenever Narset attacks, exile the top four cards of your library. Until end of turn, you may cast noncreature spells from among those cards without paying their mana costs.",RUW
"Narset, Jeskai Waymaster",6b77cbc1-dbc8-44d9-aa29-15cbb19afecd,tdm,209,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.",RUW
"Naru Meha, Master Wizard",cf44910a-4e24-4e36-a58e-ae7f463db368,c21,124,Legendary Creature — Human Wizard,"Flash When Naru Meha enters, copy target instant or sorcery spell you control. You may choose new targets for the copy. Other Wizards you control get +1/+1.",U
"Nashi, Illusion Gadgeteer",7cc3c74d-faae-48d0-9ff3-2482739e6087,yotj,24,Legendary Creature — Rat Rogue,"Flash Menace, Ward {2} When Nashi enters, secretly choose a card in your graveyard and conjure a duplicate of it into your hand. If the duplicate isn't a land card, it perpetually gains flash.",BGU
"Nashi, Moon Sage's Scion",1e62de3b-6a41-43e3-93ad-9a1e3894be3b,otc,143,Legendary Creature — Rat Ninja,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Nashi deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost.",B
"Nashi, Moon's Legacy",8ebd7ce4-550d-41ab-8559-97efb234a0a1,mat,39,Legendary Creature — Rat Shaman,"Menace, ward {1} Whenever Nashi attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)",BGU
"Nashi, Searcher in the Dark",0fbf9e1e-43f2-499e-844d-22fc10dbad06,dsk,223,Legendary Creature — Rat Ninja Wizard,"Menace Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.",BU
Nath of the Gilt-Leaf,294ccc67-6fc9-411b-9100-ae6a9b7fadfc,c16,213,Legendary Creature — Elf Warrior,"At the beginning of your upkeep, you may have target opponent discard a card at random. Whenever an opponent discards a card, you may create a 1/1 green Elf Warrior creature token.",BG
"Nazahn, Revered Bladesmith",8f21a5b4-1cfa-466b-8a16-a8b11f20b818,c17,44,Legendary Creature — Cat Artificer,"When Nazahn enters, search your library for an Equipment card and reveal it. If you reveal a card named Hammer of Nazahn this way, put it onto the battlefield. Otherwise, put that card into your hand. Then shuffle. Whenever an equipped creature you control attacks, you may tap target creature defending player controls.",GW
"Nazar, the Velvet Fang",743f4b46-c04d-4431-9510-bc84726d7fd2,j25,43,Legendary Creature — Vampire Warlock,"Menace (This creature can't be blocked except by two or more creatures.) Whenever you gain life, put a feeding counter on Nazar. Whenever Nazar attacks, you may remove three feeding counters from it. If you do, you draw three cards and you lose 3 life.",B
Nebuchadnezzar,1e50afb3-cf9f-4ce3-91ff-84f99860c181,me3,162,Legendary Creature — Human Wizard,"{X}, {T}: Choose a card name. Target opponent reveals X cards at random from their hand. Then that player discards all cards with that name revealed this way. Activate only during your turn.",BU
"Neera, Wild Mage",e5431f73-9a70-47dc-b5d4-7f43e41b878e,clb,288,Legendary Creature — Human Elf Shaman,"Whenever you cast a spell, you may put it on the bottom of its owner's library. If you do, reveal cards from the top of your library until you reveal a nonland card. You may cast that card without paying its mana cost. Then put all revealed cards not cast this way on the bottom of your library in a random order. This ability triggers only once each turn.",RU
"Neerdiv, Devious Diver",070e0081-b0fe-4417-b943-d0496e3b8cd7,j25,36,Legendary Creature — Merfolk Rogue,"Whenever Neerdiv becomes tapped, target player mills cards equal to its power. Whenever you cast a spell from your graveyard or activate an ability of a card in your graveyard, draw a card and put a +1/+1 counter on Neerdiv.",U
"Nefarox, Overlord of Grixis",abc382f3-fdb9-4987-acf4-bf1ac4fd2ef7,m13,103,Legendary Creature — Demon,"Flying Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) Whenever Nefarox attacks alone, defending player sacrifices a creature of their choice.",B
"Neheb, Dreadhorde Champion",a8cbc3ba-f552-43fd-a59b-f3d8e3edd12f,dmc,125,Legendary Creature — Zombie Minotaur Warrior,"Trample Whenever Neheb deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end.",R
"Neheb, the Eternal",767c5831-2195-4efa-802d-2ea2e6dabb5b,mkc,158,Legendary Creature — Zombie Minotaur Warrior,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.) At the beginning of each of your postcombat main phases, add {R} for each 1 life your opponents have lost this turn.",R
"Neheb, the Worthy",7593d5fb-c6b3-4d24-b9d3-97a4378161fd,akh,203,Legendary Creature — Minotaur Warrior,"First strike Other Minotaurs you control have first strike. As long as you have one or fewer cards in hand, Minotaurs you control get +2/+0. Whenever Neheb deals combat damage to a player, each player discards a card.",BR
"Nekusar, the Mindrazer",4afdc65d-3c97-47af-83fa-df340389802e,cmm,349,Legendary Creature — Zombie Wizard,"At the beginning of each player's draw step, that player draws an additional card. Whenever an opponent draws a card, Nekusar deals 1 damage to that player.",BRU
"Nelly Borca, Impulsive Accuser",2ef59aa9-f5e1-413a-869b-d287db95efd0,mkc,4,Legendary Creature — Human Detective,"Vigilance Whenever Nelly Borca attacks, suspect target creature. Then goad all suspected creatures. (A suspected creature has menace and can't block.) Whenever one or more creatures an opponent controls deal combat damage to one or more of your opponents, you and the controller of those creatures each draw a card.",RW
"Nemata, Grove Guardian",d60e3465-46ae-486f-8deb-6e2f1ac71a1b,cmm,307,Legendary Creature — Treefolk,{2}{G}: Create a 1/1 green Saproling creature token. Sacrifice a Saproling: Saproling creatures get +1/+1 until end of turn.,G
"Nemata, Primeval Warden",adcd556d-351f-4faf-9456-0e47def69a69,dmu,209,Legendary Creature — Treefolk,"Reach If a creature an opponent controls would die, exile it instead. When you do, create a 1/1 green Saproling creature token. {G}, Sacrifice a Saproling: Nemata gets +2/+2 until end of turn. {1}{B}, Sacrifice two Saprolings: Draw a card.",BG
"Neriv, Crackling Vanguard",ac552ea3-f521-4c42-a846-21a73364e0ca,tdc,6,Legendary Creature — Spirit Dragon,"Flying, deathtouch When Neriv enters, create two 1/1 red Goblin creature tokens. Whenever Neriv attacks, exile a number of cards from the top of your library equal to the number of differently named tokens you control. During any turn you attacked with a commander, you may play those cards.",BRW
"Neriv, Heart of the Storm",b58112b0-a05c-4b98-b650-fd27ad97789f,tdm,210,Legendary Creature — Spirit Dragon,"Flying If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.",BRW
"Nethroi, Apex of Death",04b9b58f-4c01-48a5-afaf-b8a37165a83f,dmc,163,Legendary Creature — Cat Nightmare Beast,"Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Deathtouch, lifelink Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield.",BGW
"Neva, Stalked by Nightmares",e6f925ab-ade7-4da8-a791-185e098d18f2,woe,209,Legendary Creature — Human Noble,"Menace When Neva enters, return target creature or enchantment card from your graveyard to your hand. Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Neva, then scry 1.",BW
"Nevinyrral, Urborg Tyrant",73255848-3112-4508-a66a-d3101a53057e,cmr,287,Legendary Creature — Zombie Wizard,"Hexproof from artifacts, creatures, and enchantments When Nevinyrral enters, create a tapped 2/2 black Zombie creature token for each creature that died this turn. When Nevinyrral dies, you may pay {1}. When you do, destroy all artifacts, creatures, and enchantments.",BUW
"Neyali, Suns' Vanguard",2b5df03d-2463-468b-b444-d946eeb1c96d,onc,2,Legendary Creature — Human Rebel,"Attacking tokens you control have double strike. Whenever one or more tokens you control attack a player, exile the top card of your library. During any turn you attacked with a token, you may play that card.",RW
Neyam Shai Murad,211fdfd5-af23-4a16-a80f-1d9ba5ccd255,40k,135,Legendary Creature — Human Rogue,"Rogue Trader — Whenever Neyam Shai Murad deals combat damage to a player, you may have that player return target permanent card from their graveyard to their hand. If you do, that player chooses a permanent card in your graveyard, then you put it onto the battlefield under your control.",BW
Neyith of the Dire Hunt,0c1eed0f-9692-44c0-b1ad-afa691165d52,jmp,30,Legendary Creature — Human Warrior,"Whenever one or more creatures you control fight or become blocked, draw a card. At the beginning of combat on your turn, you may pay {2}{R/G}. If you do, double target creature's power until end of turn. That creature must be blocked this combat if able. ({R/G} can be paid with either {R} or {G}.)",GR
"Nezahal, Primal Tide",a959b40d-dd8c-49d8-8003-744d0c877b04,cmr,401,Legendary Creature — Elder Dinosaur,"This spell can't be countered. You have no maximum hand size. Whenever an opponent casts a noncreature spell, draw a card. Discard three cards: Exile Nezahal. Return it to the battlefield tapped under its owner's control at the beginning of the next end step.",U
"Niambi, Beloved Protector",da096910-0b1f-4f2d-81e5-a82838ea52a8,ydmu,24,Legendary Creature — Human Cleric,"Flash When Niambi, Beloved Protector enters, if you cast it, choose target nonlegendary creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield. It perpetually gains ""Whenever this creature becomes the target of a spell or ability, draw a card. This ability triggers only once each turn.""",UW
"Niambi, Esteemed Speaker",e21827eb-fa49-4784-a86b-aef164a5018e,m21,222,Legendary Creature — Human Cleric,"Flash When Niambi enters, you may return another target creature you control to its owner's hand. If you do, you gain life equal to that creature's mana value. {1}{W}{U}, {T}, Discard a legendary card: Draw two cards.",UW
"Niambi, Faithful Healer",c638677c-2b92-4d0c-b61c-598b5a843844,dom,272,Legendary Creature — Human Cleric,"When Niambi enters, you may search your library and/or graveyard for a card named Teferi, Timebender, reveal it, and put it into your hand. If you search your library this way, shuffle.",UW
"Nicanzil, Current Conductor",5e6f4aba-3500-4fb7-ab78-02f63c03778a,lci,236,Legendary Creature — Merfolk Scout,"Whenever a creature you control explores a land card, you may put a land card from your hand onto the battlefield tapped. Whenever a creature you control explores a nonland card, put a +1/+1 counter on Nicanzil.",GU
"Nick Valentine, Private Eye",0a7c9553-d4a8-4d51-8e8a-8a0ffbdf1715,pip,35,Legendary Artifact Creature — Synth Detective,"Nick Valentine can't be blocked except by artifact creatures. Whenever Nick Valentine or another artifact creature you control dies, you may investigate. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U
Nicol Bolas,8e92ba96-372c-418d-b271-45e1bf5c7af5,a25,209,Legendary Creature — Elder Dragon,"Flying At the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}. Whenever Nicol Bolas deals damage to an opponent, that player discards their hand.",BRU
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",7b215968-93a6-4278-ac61-4e3e8c3c3943,m19,218,Legendary Creature — Elder Dragon // Legendary Planeswalker — Bolas,,BRU
Nihiloor,a652ac92-4e61-45ec-866e-baafefd355e5,afc,53,Legendary Creature — Horror,"When Nihiloor enters, for each opponent, tap up to one untapped creature you control. When you do, gain control of target creature that player controls with power less than or equal to the tapped creature's power for as long as you control Nihiloor. Whenever you attack with a creature an opponent owns, you gain 2 life and that player loses 2 life.",BUW
"Nikara, Lair Scavenger",00b9ac91-51e4-4653-ac2a-da166a894f2a,c20,3,Legendary Creature — Human Cleric,"Partner with Yannik, Scavenging Sentinel (When this creature enters, target player may put Yannik into their hand from their library, then shuffle.) Menace Whenever another creature you control leaves the battlefield, if it had one or more counters on it, you draw a card and you lose 1 life.",B
"Niko, Light of Hope",91ad013f-de8d-4980-b4b6-c7f91ff495b1,dsk,224,Legendary Creature — Human Wizard,"When Niko enters, create two Shard tokens. (They're enchantments with ""{2}, Sacrifice this token: Scry 1, then draw a card."") {2}, {T}: Exile target nonlegendary creature you control. Shards you control become copies of it until the next end step. Return it to the battlefield under its owner's control at the beginning of the next end step.",UW
Nikya of the Old Ways,0dcdad71-323e-41e0-a1b3-9fd5b753e71c,rna,193,Legendary Creature — Centaur Druid,"You can't cast noncreature spells. Whenever you tap a land for mana, add one mana of any type that land produced.",GR
"Nils, Discipline Enforcer",873f5d0c-7fee-4921-90d3-379c483e2882,c21,20,Legendary Creature — Human Cleric,"At the beginning of your end step, for each player, put a +1/+1 counter on up to one target creature that player controls. Each creature with one or more counters on it can't attack you or planeswalkers you control unless its controller pays {X}, where X is the number of counters on that creature.",W
Nine-Fingers Keene,5480ac0a-883a-4f73-8e7c-56d64be410a3,clb,289,Legendary Creature — Human Rogue,"Menace Ward—Pay 9 life. Whenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order.",BGU
"Nin, the Pain Artist",005ad65e-cf0b-48e9-a314-2ebba5a1400c,c17,183,Legendary Creature — Vedalken Wizard,"{X}{U}{R}, {T}: Nin deals X damage to target creature. That creature's controller draws X cards.",RU
"Nissa, Resurgent Animist",248c76d3-b5cb-4582-be17-7cd1d0cb0f58,mat,22,Legendary Creature — Elf Scout,"Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.",G
"Nissa, Vastwood Seer // Nissa, Sage Animist",ff0063da-ab6b-499d-8e87-8b34d46f0372,ori,189,Legendary Creature — Elf Scout // Legendary Planeswalker — Nissa,,G
"Nissa, Worldsoul Speaker",a471b306-4941-4e46-a0cb-d92895c16f8a,drc,13,Legendary Creature — Elf Druid,"Landfall — Whenever a land you control enters, you get {E}{E} (two energy counters). You may pay eight {E} rather than pay the mana cost for permanent spells you cast.",G
"Niv-Mizzet, Dracogenius",1b1c4bed-9b6b-42f9-939d-ece0f959a0a3,c17,184,Legendary Creature — Dragon Wizard,"Flying Whenever Niv-Mizzet deals damage to a player, you may draw a card. {U}{R}: Niv-Mizzet deals 1 damage to any target.",RU
"Niv-Mizzet, Guildpact",32a8fda6-8614-45cd-879c-0cb7fa29647e,mkm,220,Legendary Creature — Dragon Avatar,"Flying, hexproof from multicolored Whenever Niv-Mizzet deals combat damage to a player, it deals X damage to any target, target player draws X cards, and you gain X life, where X is the number of different color pairs among permanents you control that are exactly two colors.",BGRUW
"Niv-Mizzet, Parun",86c5c337-d25f-4c3e-9762-09ed0c2d36d7,otc,235,Legendary Creature — Dragon Wizard,"This spell can't be countered. Flying Whenever you draw a card, Niv-Mizzet deals 1 damage to any target. Whenever a player casts an instant or sorcery spell, you draw a card.",RU
Niv-Mizzet Reborn,56a2609d-b535-400b-81d9-72989a33c70f,war,208,Legendary Creature — Dragon Avatar,"Flying When Niv-Mizzet enters, reveal the top ten cards of your library. For each color pair, choose a card that's exactly those colors from among them. Put the chosen cards into your hand and the rest on the bottom of your library in a random order.",BGRUW
"Niv-Mizzet, Supreme",da1ff886-d3c8-43e5-8bf0-ba4f0b259781,mat,40,Legendary Creature — Dragon Avatar,"Flying, hexproof from monocolored Each instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)",BGRUW
"Niv-Mizzet, the Firemind",395465b8-f5ed-4668-9e6a-82257150c52c,c20,225,Legendary Creature — Dragon Wizard,"Flying Whenever you draw a card, Niv-Mizzet deals 1 damage to any target. {T}: Draw a card.",RU
